<torch.utils.data.dataloader.DataLoader object at 0x7f25d98c7af0>
Epoch 230/500 - Loss: 0.2101
Epoch 231/500 - Loss: 0.2111
Epoch 232/500 - Loss: 0.2111
Epoch 233/500 - Loss: 0.2099
Epoch 234/500 - Loss: 0.2093
Epoch 235/500 - Loss: 0.2103
Epoch 236/500 - Loss: 0.2091
Epoch 237/500 - Loss: 0.2093
Epoch 238/500 - Loss: 0.2105
Epoch 239/500 - Loss: 0.2098
Epoch 240/500 - Loss: 0.2093
Epoch 241/500 - Loss: 0.2096
Epoch 242/500 - Loss: 0.2104
Epoch 243/500 - Loss: 0.2101
Epoch 244/500 - Loss: 0.2096
Epoch 245/500 - Loss: 0.2077
Epoch 246/500 - Loss: 0.2073
Epoch 247/500 - Loss: 0.2102
Epoch 248/500 - Loss: 0.2084
Epoch 249/500 - Loss: 0.2110
Epoch 250/500 - Loss: 0.2112
Epoch 251/500 - Loss: 0.2075
Epoch 252/500 - Loss: 0.2093
Epoch 253/500 - Loss: 0.2095
Epoch 254/500 - Loss: 0.2088
Epoch 255/500 - Loss: 0.2076
Epoch 256/500 - Loss: 0.2091
Epoch 257/500 - Loss: 0.2108
Epoch 258/500 - Loss: 0.2071
Epoch 259/500 - Loss: 0.2166
Epoch 260/500 - Loss: 0.2086
Epoch 261/500 - Loss: 0.2065
Epoch 262/500 - Loss: 0.2080
Epoch 263/500 - Loss: 0.2077
Epoch 264/500 - Loss: 0.2075
Epoch 265/500 - Loss: 0.2077
Epoch 266/500 - Loss: 0.2088
Epoch 267/500 - Loss: 0.2088
Epoch 268/500 - Loss: 0.2064
Epoch 269/500 - Loss: 0.2093
Epoch 270/500 - Loss: 0.2082
Epoch 271/500 - Loss: 0.2077
Epoch 272/500 - Loss: 0.2081
Epoch 273/500 - Loss: 0.2086
Epoch 274/500 - Loss: 0.2075
Epoch 275/500 - Loss: 0.2093
Epoch 276/500 - Loss: 0.2072
Epoch 277/500 - Loss: 0.2070
Epoch 278/500 - Loss: 0.2074
Epoch 279/500 - Loss: 0.2066
Epoch 280/500 - Loss: 0.2084
Epoch 281/500 - Loss: 0.2074
Epoch 282/500 - Loss: 0.2102
Epoch 283/500 - Loss: 0.2073
Epoch 284/500 - Loss: 0.2089
Epoch 285/500 - Loss: 0.2076
Epoch 286/500 - Loss: 0.2086
Epoch 287/500 - Loss: 0.2090
Epoch 288/500 - Loss: 0.2069
Epoch 289/500 - Loss: 0.2066
Epoch 290/500 - Loss: 0.2060
Epoch 291/500 - Loss: 0.2049
Epoch 292/500 - Loss: 0.2069
Epoch 293/500 - Loss: 0.2061
Epoch 294/500 - Loss: 0.2055
Epoch 295/500 - Loss: 0.2055
Epoch 296/500 - Loss: 0.2063
Epoch 297/500 - Loss: 0.2056
Epoch 298/500 - Loss: 0.2086
Epoch 299/500 - Loss: 0.2039
Epoch 300/500 - Loss: 0.2073
Epoch 301/500 - Loss: 0.2078
Epoch 302/500 - Loss: 0.2059
Epoch 303/500 - Loss: 0.2070
Epoch 304/500 - Loss: 0.2049
Epoch 305/500 - Loss: 0.2064
Epoch 306/500 - Loss: 0.2065
Epoch 307/500 - Loss: 0.2059
Epoch 308/500 - Loss: 0.2060
Epoch 309/500 - Loss: 0.2070
Epoch 310/500 - Loss: 0.2063
Epoch 311/500 - Loss: 0.2052
Epoch 312/500 - Loss: 0.2054
Epoch 313/500 - Loss: 0.2058
Epoch 314/500 - Loss: 0.2074
Epoch 315/500 - Loss: 0.2056
Epoch 316/500 - Loss: 0.2071
Epoch 317/500 - Loss: 0.2064
Epoch 318/500 - Loss: 0.2056
Epoch 319/500 - Loss: 0.2053
Epoch 320/500 - Loss: 0.2057
Epoch 321/500 - Loss: 0.2063
Epoch 322/500 - Loss: 0.2071
Epoch 323/500 - Loss: 0.2067
Epoch 324/500 - Loss: 0.2053
Epoch 325/500 - Loss: 0.2037
Epoch 326/500 - Loss: 0.2050
Epoch 327/500 - Loss: 0.2052
Epoch 328/500 - Loss: 0.2057
Epoch 329/500 - Loss: 0.2051
Epoch 330/500 - Loss: 0.2043
Epoch 331/500 - Loss: 0.2048
Epoch 332/500 - Loss: 0.2037
Epoch 333/500 - Loss: 0.2054
Epoch 334/500 - Loss: 0.2071
Epoch 335/500 - Loss: 0.2033
Epoch 336/500 - Loss: 0.2046
Epoch 337/500 - Loss: 0.2070
Epoch 338/500 - Loss: 0.2050
Epoch 339/500 - Loss: 0.2041
Epoch 340/500 - Loss: 0.2045
Epoch 341/500 - Loss: 0.2048
Epoch 342/500 - Loss: 0.2029
Epoch 343/500 - Loss: 0.2056
Epoch 344/500 - Loss: 0.2070
Epoch 345/500 - Loss: 0.2040
Epoch 346/500 - Loss: 0.2079
Epoch 347/500 - Loss: 0.2035
Epoch 348/500 - Loss: 0.2039
Epoch 349/500 - Loss: 0.2038
Epoch 350/500 - Loss: 0.2053
Epoch 351/500 - Loss: 0.2053
Epoch 352/500 - Loss: 0.2050
Epoch 353/500 - Loss: 0.2036
Epoch 354/500 - Loss: 0.2044
Epoch 355/500 - Loss: 0.2031
Epoch 356/500 - Loss: 0.2021
Epoch 357/500 - Loss: 0.2055
Epoch 358/500 - Loss: 0.2050
Epoch 359/500 - Loss: 0.2048
Epoch 360/500 - Loss: 0.2031
Epoch 361/500 - Loss: 0.2033
Epoch 362/500 - Loss: 0.2048
Epoch 363/500 - Loss: 0.2044
Epoch 364/500 - Loss: 0.2053
Epoch 365/500 - Loss: 0.2038
Epoch 366/500 - Loss: 0.2035
Epoch 367/500 - Loss: 0.2045
Epoch 368/500 - Loss: 0.2050
Epoch 369/500 - Loss: 0.2038
Epoch 370/500 - Loss: 0.2022
Epoch 371/500 - Loss: 0.2038
Epoch 372/500 - Loss: 0.2039
Epoch 373/500 - Loss: 0.2030
Epoch 374/500 - Loss: 0.2040
Epoch 375/500 - Loss: 0.2036
Epoch 376/500 - Loss: 0.2029
Epoch 377/500 - Loss: 0.2022
Epoch 378/500 - Loss: 0.2030
Epoch 379/500 - Loss: 0.2043
Epoch 380/500 - Loss: 0.2048
Epoch 381/500 - Loss: 0.2020
Epoch 382/500 - Loss: 0.2027
Epoch 383/500 - Loss: 0.2040
Epoch 384/500 - Loss: 0.2041
Epoch 385/500 - Loss: 0.2027
Epoch 386/500 - Loss: 0.2060
Epoch 387/500 - Loss: 0.2027
Epoch 388/500 - Loss: 0.2028
Epoch 389/500 - Loss: 0.2031
Epoch 390/500 - Loss: 0.2034
Epoch 391/500 - Loss: 0.2039
Epoch 392/500 - Loss: 0.2032
Epoch 393/500 - Loss: 0.2025
Epoch 394/500 - Loss: 0.2029
Epoch 395/500 - Loss: 0.2036
Epoch 396/500 - Loss: 0.2033
Epoch 397/500 - Loss: 0.2022
Epoch 398/500 - Loss: 0.2014
