cuda
<torch.utils.data.dataloader.DataLoader object at 0x7f1f9d9f8a00>
Epoch 229/1000 - Loss: 0.0401
Epoch 230/1000 - Loss: 0.0400
Epoch 231/1000 - Loss: 0.0402
Epoch 232/1000 - Loss: 0.0402
Epoch 233/1000 - Loss: 0.0403
Epoch 234/1000 - Loss: 0.0402
Epoch 235/1000 - Loss: 0.0405
Epoch 236/1000 - Loss: 0.0401
Epoch 237/1000 - Loss: 0.0401
Epoch 238/1000 - Loss: 0.0402
Epoch 239/1000 - Loss: 0.0402
Epoch 240/1000 - Loss: 0.0402
Epoch 241/1000 - Loss: 0.0401
Epoch 242/1000 - Loss: 0.0402
Epoch 243/1000 - Loss: 0.0401
Epoch 244/1000 - Loss: 0.0400
Epoch 245/1000 - Loss: 0.0401
Epoch 246/1000 - Loss: 0.0401
Epoch 247/1000 - Loss: 0.0401
Epoch 248/1000 - Loss: 0.0402
Epoch 249/1000 - Loss: 0.0401
repeat_counter limit reached.
['7_0.19779316292089574', '1_0.23', '5_0.20568031128396325', '11_0.04095631358637051', '8_0.18458359515704', '3_0.24120769542168807', '10_0.0518', '2_0.23964066229720804', '9_0.1336', '6_0.22636230218219247', '4_0.2201048572433186']
SAVING IN runs/12_0.04000510455701839
