cuda
<torch.utils.data.dataloader.DataLoader object at 0x7feab98f89d0>
Epoch 212/500 - Loss: 0.0569
Epoch 213/500 - Loss: 0.0570
Epoch 214/500 - Loss: 0.0569
Epoch 215/500 - Loss: 0.0570
Epoch 216/500 - Loss: 0.0570
Epoch 217/500 - Loss: 0.0570
Epoch 218/500 - Loss: 0.0570
Epoch 219/500 - Loss: 0.0577
Epoch 220/500 - Loss: 0.0568
Epoch 221/500 - Loss: 0.0567
Epoch 222/500 - Loss: 0.0568
Epoch 223/500 - Loss: 0.0568
Epoch 224/500 - Loss: 0.0570
Epoch 225/500 - Loss: 0.0569
Epoch 226/500 - Loss: 0.0568
Epoch 227/500 - Loss: 0.0570
Epoch 228/500 - Loss: 0.0570
Epoch 229/500 - Loss: 0.0569
Epoch 230/500 - Loss: 0.0569
Epoch 231/500 - Loss: 0.0575
Epoch 232/500 - Loss: 0.0569
Epoch 233/500 - Loss: 0.0568
Epoch 234/500 - Loss: 0.0567
Epoch 235/500 - Loss: 0.0568
Epoch 236/500 - Loss: 0.0568
Epoch 237/500 - Loss: 0.0568
Epoch 238/500 - Loss: 0.0568
Epoch 239/500 - Loss: 0.0566
Epoch 240/500 - Loss: 0.0568
Epoch 241/500 - Loss: 0.0567
Epoch 242/500 - Loss: 0.0569
Epoch 243/500 - Loss: 0.0569
Epoch 244/500 - Loss: 0.0567
Epoch 245/500 - Loss: 0.0568
Epoch 246/500 - Loss: 0.0568
Epoch 247/500 - Loss: 0.0567
Epoch 248/500 - Loss: 0.0586
Epoch 249/500 - Loss: 0.0568
Epoch 250/500 - Loss: 0.0567
Epoch 251/500 - Loss: 0.0565
Epoch 252/500 - Loss: 0.0565
Epoch 253/500 - Loss: 0.0565
Epoch 254/500 - Loss: 0.0565
Epoch 255/500 - Loss: 0.0566
Epoch 256/500 - Loss: 0.0565
Epoch 257/500 - Loss: 0.0565
Epoch 258/500 - Loss: 0.0565
Epoch 259/500 - Loss: 0.0566
Epoch 260/500 - Loss: 0.0566
Epoch 261/500 - Loss: 0.0566
Epoch 262/500 - Loss: 0.0565
Epoch 263/500 - Loss: 0.0567
Epoch 264/500 - Loss: 0.0566
Epoch 265/500 - Loss: 0.0566
Epoch 266/500 - Loss: 0.0566
Epoch 267/500 - Loss: 0.0566
Epoch 268/500 - Loss: 0.0566
Epoch 269/500 - Loss: 0.0566
Epoch 270/500 - Loss: 0.0564
Epoch 271/500 - Loss: 0.0565
Epoch 272/500 - Loss: 0.0575
Epoch 273/500 - Loss: 0.0567
Epoch 274/500 - Loss: 0.0566
Epoch 275/500 - Loss: 0.0565
Epoch 276/500 - Loss: 0.0564
Epoch 277/500 - Loss: 0.0564
Epoch 278/500 - Loss: 0.0565
Epoch 279/500 - Loss: 0.0565
Epoch 280/500 - Loss: 0.0565
Epoch 281/500 - Loss: 0.0564
Epoch 282/500 - Loss: 0.0564
Epoch 283/500 - Loss: 0.0570
Epoch 284/500 - Loss: 0.0564
Epoch 285/500 - Loss: 0.0565
Epoch 286/500 - Loss: 0.0564
Epoch 287/500 - Loss: 0.0564
Epoch 288/500 - Loss: 0.0563
Epoch 289/500 - Loss: 0.0565
Epoch 290/500 - Loss: 0.0564
Epoch 291/500 - Loss: 0.0564
Epoch 292/500 - Loss: 0.0565
Epoch 293/500 - Loss: 0.0565
Epoch 294/500 - Loss: 0.0565
Epoch 295/500 - Loss: 0.0563
Epoch 296/500 - Loss: 0.0564
Epoch 297/500 - Loss: 0.0564
Epoch 298/500 - Loss: 0.0565
Epoch 299/500 - Loss: 0.0564
Epoch 300/500 - Loss: 0.0567
Epoch 301/500 - Loss: 0.0563
Epoch 302/500 - Loss: 0.0563
Epoch 303/500 - Loss: 0.0563
Epoch 304/500 - Loss: 0.0563
Epoch 305/500 - Loss: 0.0563
Epoch 306/500 - Loss: 0.0562
Epoch 307/500 - Loss: 0.0563
Epoch 308/500 - Loss: 0.0564
Epoch 309/500 - Loss: 0.0564
Epoch 310/500 - Loss: 0.0562
Epoch 311/500 - Loss: 0.0562
Epoch 312/500 - Loss: 0.0565
Epoch 313/500 - Loss: 0.0562
Epoch 314/500 - Loss: 0.0562
Epoch 315/500 - Loss: 0.0562
Epoch 316/500 - Loss: 0.0562
Epoch 317/500 - Loss: 0.0562
Epoch 318/500 - Loss: 0.0563
Epoch 319/500 - Loss: 0.0563
Epoch 320/500 - Loss: 0.0561
Epoch 321/500 - Loss: 0.0563
Epoch 322/500 - Loss: 0.0563
Epoch 323/500 - Loss: 0.0564
Epoch 324/500 - Loss: 0.0562
Epoch 325/500 - Loss: 0.0564
Epoch 326/500 - Loss: 0.0562
Epoch 327/500 - Loss: 0.0563
Epoch 328/500 - Loss: 0.0572
Epoch 329/500 - Loss: 0.0562
Epoch 330/500 - Loss: 0.0560
Epoch 331/500 - Loss: 0.0561
Epoch 332/500 - Loss: 0.0562
Epoch 333/500 - Loss: 0.0561
Epoch 334/500 - Loss: 0.0562
Epoch 335/500 - Loss: 0.0562
Epoch 336/500 - Loss: 0.0563
Epoch 337/500 - Loss: 0.0562
Epoch 338/500 - Loss: 0.0563
Epoch 339/500 - Loss: 0.0563
Epoch 340/500 - Loss: 0.0564
Epoch 341/500 - Loss: 0.0562
Epoch 342/500 - Loss: 0.0562
Epoch 343/500 - Loss: 0.0562
Epoch 344/500 - Loss: 0.0562
Epoch 345/500 - Loss: 0.0562
repeat_counter limit reached.
['7_0.19779316292089574', '1_0.23', '5_0.20568031128396325', '11_0.04095631358637051', '8_0.18458359515704', '3_0.24120769542168807', '10_0.0518', '2_0.23964066229720804', '9_0.1336', '12_0.04000510455701839', '6_0.22636230218219247', '4_0.2201048572433186']
SAVING IN runs/13_0.05603680570431529
